Axial Compression Test-Jun-21-2024-09-38-58-AM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
274,0,-1.59,1.092,0,100.5
275,0,-1.6,1.096,0,101.5
276,0,-1.61,1.1,0,102
277,-0.2,-1.62,1.104,-0.1,102.5
278,0,-1.62,1.108,0,102.5
279,-0.2,-1.63,1.112,-0.1,103
280,0,-1.64,1.116,0,104
281,0,-1.64,1.12,0,104
282,0,-1.65,1.124,0,104.5
283,0,-1.66,1.128,0,105
284,0,-1.66,1.132,0,105
285,0,-1.67,1.136,0,105.5
286,-0.2,-1.68,1.14,-0.1,106.5
287,0.2,-1.69,1.144,0.1,107
288,0.2,-1.69,1.148,0.1,107
289,0.2,-1.7,1.152,0.1,107.5
290,0,-1.71,1.156,0,108
291,0,-1.71,1.16,0,108
292,-0.2,-1.72,1.164,-0.1,109
293,0,-1.73,1.168,0,109.5
294,0,-1.73,1.172,0,109.5
295,0,-1.74,1.176,0,110
296,0,-1.75,1.18,0,111
297,-0.2,-1.76,1.184,-0.1,111.5
298,0,-1.76,1.188,0,111.5
299,0,-1.77,1.192,0,112
300,0.2,-1.78,1.196,0.1,112.5
301,0,-1.78,1.2,0,112.5
302,0,-1.79,1.204,0,113.5
303,-0.2,-1.8,1.208,-0.1,114
304,0,-1.8,1.212,0,114
305,0.2,-1.81,1.216,0.1,114.5
306,0,-1.82,1.22,0,115
307,-0.2,-1.82,1.224,-0.1,115
308,0,-1.83,1.228,0,116
309,0.2,-1.84,1.232,0.1,116.5
310,0,-1.85,1.236,0,117
311,0,-1.85,1.24,0,117
312,0,-1.86,1.244,0,117.5
313,0,-1.87,1.248,0,118.5
314,0,-1.87,1.252,0,118.5
315,0.2,-1.88,1.256,0.1,119
316,0,-1.89,1.26,0,119.5
317,-0.2,-1.89,1.264,-0.1,119.5
318,0,-1.9,1.268,0,120.5
319,0,-1.91,1.272,0,121
320,0,-1.92,1.276,0,121.5
321,-0.2,-1.92,1.28,-0.1,121.5
322,0,-1.93,1.284,0,122
323,-0.2,-1.94,1.288,-0.1,123
324,0,-1.94,1.292,0,123
325,0,-1.95,1.296,0,123.5
326,0.2,-1.96,1.3,0.1,124
327,0,-1.96,1.304,0,124
328,0,-1.97,1.308,0,124.5
329,0,-1.98,1.312,0,125.5
330,-0.4,-1.99,1.316,-0.2,126
