names,max.slope,inflection.slope,fds.slope,max.strain,inflection.strain,fds.strain,max.score,inflection.score,fds.score,rsquared
pf08UT1,178.18554868577533,178.18532845326945,175.38020747989452,0.0718,0.0717,0.0748,0.48481032473785735,0.4852945274756505,0.45955234238415654,0.9455859542396092
pf08UT2,150.1227692672078,150.1227692672078,150.9365111061173,0.0495,0.0495,0.0531,0.46075506808303895,0.46075506808303895,0.4675805166593144,0.8746333139209936
pf08UT3,114.00938809655719,114.00938809655719,114.70595060728883,0.0843,0.0843,0.0844,0.3914762744988852,0.3914762744988852,0.40734396193692013,0.8744736904299836
pf08UT4,195.87815842334072,195.87815842334072,21.432468887636247,0.09340000000000001,0.09340000000000001,0.0149,0.4661776896440754,0.4661776896440754,2.4693093549009584,0.9086777891993574
pf09CP1,199.47711005008068,178.37007415352437,151.42404083218204,0.19999999999999982,0.0227,0.028300000000000002,0.6517015121762151,0.45627232607975543,0.3930034142365003,0.8035733469030254
pf09CP2,126.46128477053665,126.4605227160756,122.02644347812597,0.054200000000000005,0.0541,0.0504,0.4373333782390549,0.4373351691454546,0.4221783546777678,0.7137177675042758
pf09CP3,75.93532042555555,75.93532042555555,70.14366235328492,0.055,0.055,0.0599,0.2646087743402581,0.2646087743402581,0.2313750464156885,0.651930544656733
pf09LT1,66.67230741289205,66.14366968440041,55.41434100998139,0.1999999999999993,0.0378,0.050800000000000005,1.573366009482972,0.27835115469276683,0.2573981613674619,0.5351578437091719
pf09LT2,26.440812557511094,23.04641966232266,20.655553642900053,0.1782,0.0204,0.0217,0.15708872531749193,0.5391379333804474,0.5369108906269178,0.3920334880518994
pf09LT3,84.66425223933054,84.66380411381826,75.81894518161897,0.0454,0.0453,0.054900000000000004,0.3443694988262596,0.3444283034727986,0.20627962903741714,0.7017971209341587
pf09MT1,48.58261923753297,48.58213056941834,45.30867858698683,0.040400000000000005,0.0403,0.0439,0.4505119429909808,0.4502577725962512,0.4158964240017055,0.49089341798536584
pf09MT2,100.60662074812898,100.60662074812898,96.40817877474042,0.023200000000000002,0.023200000000000002,0.027600000000000003,0.4498773851133733,0.4498773851133733,0.4655400636980894,0.6114391747515882
pf09MT3,68.9056057654658,68.9056057654658,66.93067441961263,0.0529,0.0529,0.054400000000000004,0.36608896823592724,0.36608896823592724,0.34726404194023053,0.6289832526976321
pf09UT1,152.0858154990322,152.0854706417395,143.75816040923974,0.0575,0.0574,0.0545,0.4252533897157743,0.42541468524125853,0.4076616306232134,0.7109302310842808
pf09UT2,315.6802655545626,176.1277731811475,161.72549255340553,0.1092,0.0545,0.051300000000000005,0.8371331481656288,0.5064037160637263,0.45866101513915974,0.4217108477115661
pf09UT3,137.47973121351922,137.47973121351922,129.83780345830974,0.075,0.075,0.07880000000000001,0.226231300008705,0.226231300008705,0.22860162039685022,0.6642682237238695
pf10CP1,43.433205174703076,43.433037654047865,35.52983945160971,0.0371,0.037000000000000005,0.0494,0.37834604075735323,0.3774578949380264,0.44790119587110505,0.6922209991911682
pf10CP2,83.78550269056326,83.78502123256831,79.38621553310851,0.0405,0.040400000000000005,0.0417,0.40236196695264104,0.4015573671343471,0.44308028814834766,0.8733444011178506
pf10CP3,116.9245569385205,116.9245569385205,105.49531275415771,0.0568,0.0568,0.061000000000000006,0.4102848071812527,0.4102848071812527,0.36211275827294603,0.760965357019933
pf10LT1,63.958149527774,28.230165905044814,16.937648374567935,0.1999999999999993,0.0201,0.0245,0.773259731167624,0.5968519908319817,0.5113617170336656,0.6303337404683921
pf10LT2,95.29871228678442,26.527343110931206,91.35175757859082,0.1008,0.0189,0.097,0.3613289763823796,0.6907325928035881,0.3413645921441718,0.7361279931974425
pf10LT3,73.17910642885948,73.17885796005856,67.95726612703739,0.048100000000000004,0.048,0.0553,0.3817349617003236,0.38171174016549675,0.30738697781452085,0.6897842930699323
pf10MT1,41.780412115517464,7.211190717634123,5.0352031179514025,0.196,0.02,0.0216,0.3932345035259997,0.38443545193827,0.4906274559628953,0.6455836472121392
