names,yield.stress,yield.strain
pf20UT4,15.285660570367076,0.2624
pf21CP1,1.1889828344458393,0.06280000000000001
pf21CP2,9.227937019221397,0.1282
pf21CP3,3.44854489131771,0.11280000000000001
pf21LT1,10.649877276237396,0.6136
pf21LT2,10.677504273940851,0.1825
pf21MT1,7.723190857692228,0.12440000000000001
pf21MT2,2.71858927640822,0.061000000000000006
pf21MT3,3.770604586350976,0.057800000000000004
pf21UT1,15.847161520951627,0.193
pf21UT2,6.423073091182404,0.07540000000000001
pf21UT3,1.3538024807831404,0.10360000000000001
sv01CP1,8.96654068592293,0.0645
sv01CP2,7.545324285786153,0.0465
sv01CP3,6.146858682555245,0.0427
sv01CP4,14.991098197488288,0.1991
sv01LT1,13.760907696658622,0.1779
sv01LT2,14.967753920194802,0.1812
sv01LT3,8.607098364776807,0.13570000000000002
sv01MT1,3.347597208913868,0.0476
sv01MT2,5.6784281173946916,0.0582
sv01UT1,15.593298897163482,0.2384
sv01UT2,3.0265216628513336,0.0516
sv01UT3,3.9126967627655844,0.0551
