name,max.slope,max.strain,max.score,inflection.slope,inflection.strain,inflection.score,fds.slope,fds.strain,fds.score
PF05LT1,134.35569787605561,0.058600000000000006,0.4209180019572438,134.35569787605561,0.058600000000000006,0.4209180019572438,126.85300773657272,0.0614,0.39018387934627363
PF05LT2,172.75105839271316,0.0523,0.46373684691361544,172.7506764798662,0.0522,0.4639921338524384,166.95426948566168,0.0533,0.4373238234156822
PF05LT3,143.58108365980735,0.07780000000000001,0.3434849958245847,143.58035207226462,0.0777,0.34350384581912535,136.92737785886365,0.07880000000000001,0.3317828248070145
PF05MT1,127.53298766664605,0.0631,0.4197191863754671,127.53298766664605,0.0631,0.4197191863754671,122.21245989161915,0.0664,0.43037162536552764
PF05MT2,159.63230488072054,0.046900000000000004,0.4409077059122834,159.6316455421325,0.0468,0.44056546656389134,155.1497167891003,0.0499,0.4329064673736422
PF05UT1,250.47992647698499,0.0645,0.4115704835902813,250.47992647698499,0.0645,0.4115704835902813,222.6749812960614,0.07010000000000001,0.3358618387482321
PF05UT2,124.21336732758874,0.1126,0.2639128050750094,72.21330860136604,0.0711,0.4532141333294704,16.861039787622985,0.0164,1.521569768204815
PF05UT3,93.85663453983429,0.1226,0.23721789455456738,15.841213207392721,0.036000000000000004,0.8404532226977317,14.018461013007487,0.015600000000000001,0.2653403995877527
PF06CP1,85.08946751728986,0.09000000000000001,0.3154577020901419,59.51197961912893,0.0419,0.3623252820508633,57.141794868578465,0.039,0.33423686515512574
PF06CP2,113.14985000987862,0.0597,0.35279255068580984,113.1497242463598,0.0596,0.3529456996793943,106.85767619367152,0.061500000000000006,0.32635721420987907
PF06CP3,169.82936706828008,0.0505,0.4041401340577457,169.82907313714483,0.0504,0.4048996417554378,160.98551376093866,0.0427,0.35269913686391224
PF06CP4,101.06123198881828,0.0668,0.2405155501971968,101.06123198881828,0.0668,0.2405155501971968,94.57155822283204,0.0603,0.19413890206285617
PF06LT1,177.81284574067553,0.076,0.53731496422339,27.990292539312705,0.0183,2.1549903408821294,170.35064943522505,0.0786,0.5106779642752897
PF06LT2,162.43433363075337,0.0373,0.4733063315326897,162.43433363075337,0.0373,0.4733063315326897,155.1523632074735,0.035500000000000004,0.46449995828528134
PF06LT3,159.28056106641594,0.043000000000000003,0.519649870806003,159.28001213599958,0.0429,0.5192472406043234,146.68206481817538,0.0487,0.5159927111611452
PF06MT1,246.75734137021732,0.19870000000000002,0.8592241805262658,163.42062012995925,0.0391,0.5427918858501034,162.78395868864567,0.0366,0.5366777863027904
PF06MT2,426.6315499897342,0.0711,0.7185672128464068,172.1515052389886,0.0179,0.8673223033047188,34.65737518106095,0.028,7.875715429890244
PF06MT3,131.8889217233735,0.046200000000000005,0.45297678073555264,131.88849650908585,0.0461,0.4528238793087849,124.85853494975335,0.051500000000000004,0.4217324451543173
PF06MT4,136.04609785758487,0.0712,0.4948181956042174,136.04532686514648,0.0711,0.495198764679734,11.12388891919562,0.0171,5.656362076239495
PF06UT1,121.21426716495914,0.138,0.47740268380527706,47.74935264137981,0.0849,0.5006508654708838,44.33913656319314,0.08320000000000001,0.50756699661479
PF06UT2,114.4932439120539,0.057600000000000005,0.4560112597708716,114.4932439120539,0.057600000000000005,0.4560112597708716,112.59012007598102,0.058800000000000005,0.43573349370645387
PF06UT3,125.9631288974779,0.0855,0.41168647772312117,125.9631288974779,0.0855,0.41168647772312117,122.83201537284195,0.0877,0.4004259342834773
PF07CP1,58.193606163044414,0.0636,0.25166982013949446,37.91048071667629,0.0182,0.267878866011582,55.52493947084365,0.0634,0.22575011175559426
PF07CP2,80.7580616856167,0.08900000000000001,0.42782758099364515,44.71987332351741,0.038200000000000005,0.31471966318935657,61.58289343421466,0.1008,0.4396169322591189
PF07CP3,59.48858017854832,0.06420000000000001,0.2858502637330974,59.48858017854832,0.06420000000000001,0.2858502637330974,51.09823025805633,0.0729,0.26730368631837836
PF07LT1,27.7560499116045,0.018500000000000003,0.5184439798506507,27.7560499116045,0.018500000000000003,0.5184439798506507,22.162995038033667,0.0171,0.4716081430044418
PF07LT2,76.68785723050468,0.0412,0.5061900061345794,76.68756346497189,0.041100000000000005,0.5052682490049476,72.95456728138731,0.043300000000000005,0.5765193764710446
PF07LT3,64.96772748272643,0.0371,0.7516453563292594,64.9669557913587,0.037000000000000005,0.7503389127673636,40.277424479364086,0.0476,0.96207579956425
PF07MT1,108.4021878929872,0.044500000000000005,0.45430637135623175,108.40181616022184,0.0444,0.45372456398067673,103.04131155743748,0.046400000000000004,0.4502275584160167
PF07MT2,79.86173911717349,0,0.4907649674820347,54.63493844823841,0.0514,0.27761015351160934,51.3224959766819,0.0655,0.32230772061926394
PF07MT3,69.81788544746661,0.1585,0.5025175839223798,56.971451062979135,0.0494,0.23118041749871904,53.15934819594436,0.058100000000000006,0.24161760659873543
PF07UT1,149.49991716947466,0.0472,0.504060906856645,149.49991716947466,0.0472,0.504060906856645,142.51421126874212,0.048100000000000004,0.503998841952053
PF07UT2,119.4446940071331,0.0477,0.4624360027693578,119.4446940071331,0.0477,0.4624360027693578,110.43587657336667,0.0563,0.48214843651325595
