Axial Compression Test-Jun-21-2024-03-08-46-PM.log,,,,,
,,,,,
System Information:,,,,,
IntelliMESUR Version: 2.2.1,,,,,
Test Frame Model: F505,,,,,
Test Frame Serial Number: 4418651,,,,,
Test Frame Capacity: 500 lbF / 2.2 kN,,,,,
Test Frame Firmware Version: 1.00.14,,,,,
Force Sensor Model: FS05-100,,,,,
Force Sensor Capacity: 500 N,,,,,
Force Sensor Resolution: 0.2 N,,,,,
Force Sensor Serial Number: 4425350,,,,,
"Calibration Date: Apr 29, 2024",,,,,
"Calibration Due Date: Apr 29, 2025",,,,,
,,,,,
Reading,Load [N],Distance [mm],Time [s],Stress [MPa],Strain [%]
603,0,-3.89,2.408,0,210.5
604,0,-3.9,2.412,0,211
605,0,-3.9,2.416,0,211
606,0,-3.91,2.42,0,211.5
607,0,-3.92,2.424,0,212
608,0,-3.92,2.428,0,212
609,-0.2,-3.93,2.432,-0.1,212.5
610,0,-3.94,2.436,0,213
611,0,-3.94,2.44,0,213
612,0,-3.95,2.444,0,213.5
613,0,-3.96,2.448,0,214
614,0,-3.97,2.452,0,214.5
615,-0.2,-3.97,2.456,-0.1,214.5
616,0,-3.98,2.46,0,215
617,0,-3.99,2.464,0,215.5
618,0,-3.99,2.468,0,215.5
619,0,-4,2.472,0,216
620,0,-4.01,2.476,0,217
621,0,-4.01,2.48,0,217
622,0,-4.02,2.484,0,217.5
623,-0.2,-4.03,2.488,-0.1,218
624,-0.2,-4.04,2.492,-0.1,218.5
625,-0.2,-4.04,2.496,-0.1,218.5
626,0,-4.05,2.5,0,219
627,0,-4.06,2.504,0,219.5
628,0,-4.06,2.508,0,219.5
629,0.2,-4.07,2.512,0.1,220
630,0.2,-4.08,2.516,0.1,220.5
631,0,-4.09,2.52,0,221
632,0,-4.09,2.524,0,221
633,0,-4.1,2.528,0,221.5
634,0.2,-4.11,2.532,0.1,222
635,0.2,-4.11,2.536,0.1,222
636,0,-4.12,2.54,0,222.5
637,0.2,-4.13,2.544,0.1,223
638,-0.2,-4.13,2.548,-0.1,223
